"id","title","author","url","status","open_time","close_time","reviewers"
"11945","Docs grammar: ""in a very declarative way"" -> ""declaratively""","llimllib","https://github.com/facebook/react/pull/7955","Closed","12/10/2016 19:13:37",,"[]"
"11946","[New Docs] Further explain what React.PureComponent does.","hramos","https://github.com/facebook/react/pull/7956","Merged","12/10/2016 19:27:58",,"[""gaearon""]"
"11947","Check in yarn.lock file","sebmarkbage","https://github.com/facebook/react/pull/7957","Merged","12/10/2016 20:05:39",,"[]"
"11948","Remove findDOMNode(), because it was only mentioned in the subheading.","rickbeerendonk","https://github.com/facebook/react/pull/7959","Closed","12/10/2016 21:49:31",,"[]"
"11949","Optimizing Performance","lacker","https://github.com/facebook/react/pull/7960","Merged","12/10/2016 21:59:11",,"[""gaearon"", ""brigand"", ""aweary""]"
"11950","[New Docs] Update Addon reference docs.","hramos","https://github.com/facebook/react/pull/7961","Merged","12/10/2016 22:15:42",,"[""gaearon""]"
"11951","[New Docs] Reconciliation and Web Components docs","lacker","https://github.com/facebook/react/pull/7962","Merged","12/10/2016 22:23:06",,"[""sophiebits"", ""gaearon""]"
"11952","Display which invalid type was returned","davidblurton","https://github.com/facebook/react/pull/7963","Closed","12/10/2016 22:43:50",,"[""gaearon"", ""sethkinast"", ""aweary""]"
"11953","[New Docs] Added: Lists & Conditional Rendering & Forms","ericnakagawa","https://github.com/facebook/react/pull/7964","Merged","13/10/2016 01:22:23",,"[""lacker"", ""gaearon"", ""aweary""]"
"11954","Fix white space for error code 125","ivanzotov","https://github.com/facebook/react/pull/7966","Closed","13/10/2016 11:45:06",,"[]"
"11955","[New Docs] Fix docs grammar","ivanzotov","https://github.com/facebook/react/pull/7967","Merged","13/10/2016 13:01:01",,"[""hramos""]"
"11956","build: strip @providesModule from output modules","iamdustan","https://github.com/facebook/react/pull/7968","Merged","13/10/2016 13:27:16",,"[]"
"11957","Fix a typo in the doc","wuct","https://github.com/facebook/react/pull/7969","Merged","13/10/2016 15:51:15",,"[]"
"11958","Fix cases where owner warning is shown","sophiebits","https://github.com/facebook/react/pull/797","Merged","3/1/2014 20:33:51",,"[]"
"11959","[New Docs] Replace Codepen with CodePen","ivanzotov","https://github.com/facebook/react/pull/7970","Merged","13/10/2016 16:41:57",,"[""hramos""]"
"11960","[New Docs] Link to Reactiflux, Move Footer/Hero to Includes","hramos","https://github.com/facebook/react/pull/7971","Merged","13/10/2016 23:43:25",,"[]"
"11961","[Fiber] Support to render number as children","koba04","https://github.com/facebook/react/pull/7972","Closed","14/10/2016 04:39:22",,"[]"
