"id","issue_url","pr_url","link_time","user","is_link"
"102","https://github.com/facebook/react/issues/122","https://github.com/facebook/react/pull/629","4/12/2013 01:56:18","sophiebits","1"
"103","https://github.com/facebook/react/issues/12209","https://github.com/facebook/react/pull/12263","21/2/2018 20:02:08","Swieckowski","1"
"104","https://github.com/facebook/react/issues/12209","https://github.com/facebook/react/pull/18306","13/3/2020 19:31:40","bl00mber","1"
"105","https://github.com/facebook/react/issues/12251","https://github.com/facebook/react/pull/13358","9/8/2018 19:52:05","philipp-spiess","1"
"106","https://github.com/facebook/react/issues/1227","https://github.com/facebook/react/pull/1231","7/3/2014 09:35:41","sophiebits","1"
"107","https://github.com/facebook/react/issues/1232","https://github.com/facebook/react/pull/4427","19/7/2015 15:21:40","sophiebits","1"
"108","https://github.com/facebook/react/issues/1236","https://github.com/facebook/react/pull/3351","9/3/2015 18:19:26","nhunzaker","1"
"109","https://github.com/facebook/react/issues/12432","https://github.com/facebook/react/pull/12433","22/3/2018 18:21:00","bvaughn","1"
"110","https://github.com/facebook/react/issues/1250","https://github.com/facebook/react/pull/2597","25/11/2014 06:18:31","jimfb","1"
"111","https://github.com/facebook/react/issues/12502","https://github.com/facebook/react/pull/12510","1/4/2018 02:15:33","gaearon","1"
"112","https://github.com/facebook/react/issues/12506","https://github.com/facebook/react/pull/12976","4/6/2018 11:16:48","nhunzaker","1"
"113","https://github.com/facebook/react/issues/12612","https://github.com/facebook/react/pull/12613","14/4/2018 11:00:43","timdegroote","1"
"114","https://github.com/facebook/react/issues/12687","https://github.com/facebook/react/pull/13012","11/6/2018 08:51:46","asiniy","1"
"115","https://github.com/facebook/react/issues/12694","https://github.com/facebook/react/pull/12702","26/4/2018 21:24:47","airamrguez","1"
"116","https://github.com/facebook/react/issues/1275","https://github.com/facebook/react/pull/1276","20/3/2014 04:14:36","marcins","1"
"117","https://github.com/facebook/react/issues/1278","https://github.com/facebook/react/pull/1279","20/3/2014 18:43:35","benjamn","1"
"118","https://github.com/facebook/react/issues/12872","https://github.com/facebook/react/pull/12780","27/5/2018 23:07:59","ellsclytn","1"
"119","https://github.com/facebook/react/issues/1292","https://github.com/facebook/react/pull/1780","2/7/2014 21:37:28","jbrantly","1"
"120","https://github.com/facebook/react/issues/12930","https://github.com/facebook/react/pull/12931","29/5/2018 23:35:02","flarnie","1"
"121","https://github.com/facebook/react/issues/12964","https://github.com/facebook/react/pull/12966","2/6/2018 00:20:10","philipp-spiess","1"
"122","https://github.com/facebook/react/issues/1297","https://github.com/facebook/react/pull/1366","7/4/2014 06:17:38","sophiebits","1"
"123","https://github.com/facebook/react/issues/1300","https://github.com/facebook/react/pull/6129","26/2/2016 20:52:48","gaearon","1"
"124","https://github.com/facebook/react/issues/1302","https://github.com/facebook/react/pull/1305","26/3/2014 20:10:49","andreypopp","1"
"125","https://github.com/facebook/react/issues/131","https://github.com/facebook/react/pull/145","1/7/2013 20:54:49","benjamn","1"
"126","https://github.com/facebook/react/issues/13111","https://github.com/facebook/react/pull/13121","28/6/2018 05:15:25","swyxio","1"
"127","https://github.com/facebook/react/issues/1314","https://github.com/facebook/react/pull/1330","30/3/2014 03:03:00","sophiebits","1"
"128","https://github.com/facebook/react/issues/13222","https://github.com/facebook/react/pull/13270","25/7/2018 21:55:43","segoddnja","1"
"129","https://github.com/facebook/react/issues/13342","https://github.com/facebook/react/pull/13783","5/10/2018 18:05:48","tvler","1"
"130","https://github.com/facebook/react/issues/1337","https://github.com/facebook/react/pull/1340","1/4/2014 01:48:04","matthewwithanm","1"
"131","https://github.com/facebook/react/issues/13381","https://github.com/facebook/react/pull/16169","21/7/2019 17:21:01","stephan-noel","1"
"132","https://github.com/facebook/react/issues/13425","https://github.com/facebook/react/pull/13423","17/8/2018 16:48:53","gaearon","1"
"133","https://github.com/facebook/react/issues/13512","https://github.com/facebook/react/pull/13509","29/8/2018 23:36:26","bvaughn","1"
"134","https://github.com/facebook/react/issues/13518","https://github.com/facebook/react/pull/18293","12/3/2020 19:18:21","bl00mber","1"
"135","https://github.com/facebook/react/issues/13601","https://github.com/facebook/react/pull/13605","9/9/2018 15:43:22","bvaughn","1"
